id,title,description,category,ageRangeKey,ageRange,startMonths,endMonths,period,importance,isTypical,prerequisites,skills,observationTips,supportStrategies,redFlags,resources,createdDate,modifiedDate
prenatal_third_social_emotional_1,Attachment preparation,Attachment preparation and bonding readiness,social_emotional,prenatal_late,Prenatal (Third Trimester),-3,0,prenatal,high,true,prenatal_second_social_emotional_1,Bonding preparation,Foster maternal-infant connection,Bonding activities,Attachment difficulties,Bonding resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_third_language_1,Maternal voice recognition,Maternal voice recognition and language preparation,language,prenatal_late,Prenatal (Third Trimester),-3,0,prenatal,high,true,prenatal_second_language_1,Voice recognition,Talk to baby regularly,Reading and singing,Voice recognition issues,Language preparation materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_0_6_physical_1,Head control,Head control and neck strength development,physical,infancy_0_6,0-6 months,0,6,infancy,critical,true,,Neck strength,Tummy time practice,Daily tummy time,No head control by 4 months,Tummy time activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_0_6_cognitive_1,Tracking objects with eyes,Visual tracking and focus development,cognitive,infancy_0_6,0-6 months,0,6,infancy,high,true,,Visual focus,Follow objects with eyes,Use colorful toys,No visual tracking by 3 months,Visual stimulation toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_0_6_social_emotional_1,Social smiling,Social smiling and interaction with caregivers,social_emotional,infancy_0_6,0-6 months,0,6,infancy,high,true,,Social response,Respond to smiles,Frequent face-to-face interaction,No social smiling by 2 months,Social interaction guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_0_6_language_1,Cooing and babbling,Cooing and early vocalizations,language,infancy_0_6,0-6 months,0,6,infancy,high,true,,Vocalization,Make cooing sounds,Talk back to baby,No vocalizations by 4 months,Language development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_6_12_physical_1,Rolling over,Rolling over and basic mobility skills,physical,infancy_6_12,6 months - 1 year,6,12,infancy,critical,true,months_0_6_physical_1,Rolling mobility,Roll from back to tummy,Encourage rolling practice,No rolling by 8 months,Mobility development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_6_12_cognitive_1,Object permanence,Object permanence understanding,cognitive,infancy_6_12,6 months - 1 year,6,12,infancy,high,true,months_0_6_cognitive_1,Memory development,Look for hidden objects,Peek-a-boo games,No object permanence by 10 months,Cognitive development toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_6_12_social_emotional_1,Stranger anxiety,Stranger anxiety and appropriate caution,social_emotional,infancy_6_12,6 months - 1 year,6,12,infancy,medium,true,months_0_6_social_emotional_1,Social discrimination,Show wariness of strangers,Gradual social exposure,No stranger awareness or extreme fear,Social development guidance,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_6_12_language_1,First words,First words and meaningful sounds,language,infancy_6_12,6 months - 1 year,6,12,infancy,critical,true,months_0_6_language_1,Word production,Say first meaningful words,Repeat and reinforce words,No words by 12 months,First words encouragement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_12_18_physical_1,Sitting without support,Sitting without support and balance,physical,infancy_12_18,1 year - 1 year 6 months,12,18,infancy,critical,true,months_6_12_physical_1,Sitting balance,Sit independently,Provide sitting practice,No sitting by 15 months,Sitting development aids,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_12_18_cognitive_1,Cause and effect understanding,Cause and effect recognition,cognitive,infancy_12_18,1 year - 1 year 6 months,12,18,infancy,high,true,months_6_12_cognitive_1,Logic development,Understand cause and effect,Interactive cause-effect toys,No understanding by 15 months,Cause-effect learning toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_12_18_social_emotional_1,Separation anxiety,Separation anxiety and attachment security,social_emotional,infancy_12_18,1 year - 1 year 6 months,12,18,infancy,medium,true,months_6_12_social_emotional_1,Attachment security,Show appropriate separation distress,Gradual separation practice,Extreme or no separation anxiety,Attachment development guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_12_18_language_1,Vocabulary growth,Vocabulary growth and word combinations,language,infancy_12_18,1 year - 1 year 6 months,12,18,infancy,high,true,months_6_12_language_1,Vocabulary expansion,Use increasing number of words,Read together daily,Limited vocabulary growth,Vocabulary building activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_18_24_physical_1,Crawling/creeping,Crawling and early mobility development,physical,months-18-24,1 year 6 months - 2 years,18,24,infancy,critical,true,months_12_18_physical_1,Mobility skills,Crawl and explore,Safe crawling spaces,No crawling by 18 months,Crawling development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_18_24_cognitive_1,Simple problem solving,Simple problem solving with toys and objects,cognitive,months-18-24,1 year 6 months - 2 years,18,24,infancy,high,true,months_12_18_cognitive_1,Problem solving,Solve simple problems,Provide puzzles and challenges,No problem-solving attempts,Problem-solving toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_18_24_social_emotional_1,Emotional expression,Emotional expression and regulation development,social_emotional,months-18-24,1 year 6 months - 2 years,18,24,infancy,high,true,months_12_18_social_emotional_1,Emotional control,Express basic emotions,Model emotional expression,Extreme emotional outbursts,Emotional development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_18_24_language_1,Two-word combinations,Two-word combinations and phrases,language,months-18-24,1 year 6 months - 2 years,18,24,infancy,critical,true,months_12_18_language_1,Phrase formation,Combine words into phrases,Model two-word phrases,No word combinations by 24 months,Language combination practice,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_24_30_physical_1,Standing with support,Standing with support and balance development,physical,months-24-30,2 years - 2 years 6 months,24,30,early_childhood,critical,true,months_18_24_physical_1,Standing balance,Stand with assistance,Practice standing activities,No standing by 24 months,Standing development aids,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_24_30_cognitive_1,Imitation of actions,Imitation of actions and learning through copying,cognitive,months-24-30,2 years - 2 years 6 months,24,30,early_childhood,high,true,months_18_24_cognitive_1,Imitative learning,Copy actions and behaviors,Demonstrate activities,Limited imitation abilities,Imitation learning activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_24_30_social_emotional_1,Empathy development,Empathy development and caring behaviors,social_emotional,months-24-30,2 years - 2 years 6 months,24,30,early_childhood,high,true,months_18_24_social_emotional_1,Empathetic response,Show concern for others,Model and discuss empathy,Lack of empathy or concern,Empathy development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_24_30_language_1,Understanding simple commands,Understanding and following simple commands,language,months-24-30,2 years - 2 years 6 months,24,30,early_childhood,high,true,months_18_24_language_1,Command comprehension,Follow simple instructions,Use clear simple commands,No command following,Language comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_30_36_physical_1,Walking independently,Walking independently and coordination,physical,months-30-36,2 years 6 months - 3 years,30,36,early_childhood,critical,true,months_24_30_physical_1,Independent walking,Walk without support,Encourage walking practice,No independent walking by 30 months,Walking development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_30_36_cognitive_1,Symbolic thinking begins,Symbolic thinking and pretend play,cognitive,months-30-36,2 years 6 months - 3 years,30,36,early_childhood,high,true,months_24_30_cognitive_1,Symbolic thought,Engage in pretend play,Encourage imaginative play,No pretend play by 36 months,Pretend play materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_30_36_social_emotional_1,Self-awareness begins,Self-awareness and identity development,social_emotional,months-30-36,2 years 6 months - 3 years,30,36,early_childhood,high,true,months_24_30_social_emotional_1,Self-recognition,Recognize self in mirror,Self-awareness activities,No self-recognition,Identity development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_30_36_language_1,Gesture communication,Gesture communication and non-verbal expression,language,months-30-36,2 years 6 months - 3 years,30,36,early_childhood,medium,true,months_24_30_language_1,Gesture use,Use gestures to communicate,Encourage gesture communication,Limited gesture use,Gesture development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_36_42_physical_1,Running and jumping,Running and jumping development,physical,months-36-42,3 years - 3 years 6 months,36,42,early_childhood,high,true,months_30_36_physical_1,Advanced mobility,Run and jump with coordination,Active play opportunities,Poor coordination in running,Gross motor activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_36_42_cognitive_1,Memory development,Memory development and recall abilities,cognitive,months-36-42,3 years - 3 years 6 months,36,42,early_childhood,high,true,months_30_36_cognitive_1,Memory skills,Remember familiar people and places,Memory games and repetition,Poor memory recall,Memory enhancement activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_36_42_social_emotional_1,Peer interest,Peer interest and early social interaction,social_emotional,months-36-42,3 years - 3 years 6 months,36,42,early_childhood,high,true,months_30_36_social_emotional_1,Social engagement,Show interest in other children,Arrange playdates,No interest in peers,Social skill development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_36_42_language_1,Story comprehension,Story comprehension and narrative understanding,language,months-36-42,3 years - 3 years 6 months,36,42,early_childhood,medium,true,months_30_36_language_1,Narrative understanding,Understand simple stories,Read stories together,No story comprehension,Story comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_42_48_physical_1,Climbing up stairs,Climbing up stairs and advanced coordination,physical,months-42-48,3 years 6 months - 4 years,42,48,early_childhood,medium,true,months_36_42_physical_1,Stair climbing,Climb stairs independently,Stair climbing practice,Fear or inability to climb,Climbing development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_42_48_cognitive_1,Attention span increases,Attention span increases and focus development,cognitive,months-42-48,3 years 6 months - 4 years,42,48,early_childhood,high,true,months_36_42_cognitive_1,Sustained attention,Focus on activities longer,Structured activities,Very short attention span,Attention development strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_42_48_social_emotional_1,Question asking begins,Question asking and curiosity expression,social_emotional,months-42-48,3 years 6 months - 4 years,42,48,early_childhood,medium,true,months_36_42_social_emotional_1,Curiosity expression,Ask questions about the world,Answer questions patiently,No questioning behavior,Curiosity encouragement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_42_48_language_1,Question asking begins,Asking questions and showing curiosity,language,months-42-48,3 years 6 months - 4 years,42,48,early_childhood,high,true,months_36_42_language_1,Question formation,Ask why and how questions,Encourage and answer questions,No questioning behavior,Question encouragement strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_48_54_physical_1,Pedaling tricycle,Pedaling tricycle and coordinated movement,physical,months-48-54,4 years - 4 years 6 months,48,54,early_childhood,medium,true,months_42_48_physical_1,Pedaling coordination,Pedal tricycle or bike,Provide riding opportunities,Inability to pedal,Bike riding development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_48_54_cognitive_1,Learning through play,Learning through play and exploration,cognitive,months-48-54,4 years - 4 years 6 months,48,54,early_childhood,high,true,months_42_48_cognitive_1,Play-based learning,Learn concepts through play,Educational play activities,Limited learning through play,Educational toys and games,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_48_54_social_emotional_1,Self-control,Self-control and emotional regulation,social_emotional,months-48-54,4 years - 4 years 6 months,48,54,early_childhood,high,true,months_42_48_social_emotional_1,Self-regulation,Control impulses and emotions,Emotional regulation strategies,Poor self-control,Self-regulation activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_48_54_language_1,Vocabulary expansion,Vocabulary expansion and complex language,language,months-48-54,4 years - 4 years 6 months,48,54,early_childhood,high,true,months_42_48_language_1,Language growth,Use varied vocabulary,Rich language exposure,Limited vocabulary,Vocabulary building activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_54_60_physical_1,Throwing and catching,Throwing and catching development,physical,months-54-60,4 years 6 months - 5 years,54,60,early_childhood,medium,true,months_48_54_physical_1,Ball skills,Throw and catch balls,Ball play activities,Poor ball handling,Ball skill development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_54_60_cognitive_1,Problem-solving strategies,Problem-solving strategies development,cognitive,months-54-60,4 years 6 months - 5 years,54,60,early_childhood,high,true,months_48_54_cognitive_1,Strategic thinking,Use strategies to solve problems,Provide challenging puzzles,No problem-solving strategies,Problem-solving skill building,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_54_60_social_emotional_1,Emotional intelligence,Emotional intelligence and understanding,social_emotional,months-54-60,4 years 6 months - 5 years,54,60,early_childhood,high,true,months_48_54_social_emotional_1,Emotional understanding,Understand and express emotions,Emotion coaching,Limited emotional awareness,Emotional intelligence activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
months_54_60_language_1,Narrative skills,Narrative skills and storytelling,language,months-54-60,4 years 6 months - 5 years,54,60,early_childhood,medium,true,months_48_54_language_1,Storytelling ability,Tell coherent stories,Storytelling practice,Poor narrative skills,Storytelling development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_5_6_physical_1,Balance beam walking,Balance beam walking and coordination,physical,year-5-6,5-6 years,60,72,schoolAge,medium,true,months_54_60_physical_1,Balance skills,Walk on balance beam,Balance activities,Poor balance,Balance development exercises,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_5_6_cognitive_1,Academic readiness,Academic readiness and learning skills,cognitive,year-5-6,5-6 years,60,72,schoolAge,critical,true,months_54_60_cognitive_1,Learning readiness,Show readiness for formal learning,School preparation activities,Lack of academic readiness,School readiness programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_5_6_social_emotional_1,Achievement motivation,Achievement motivation and goal setting,social_emotional,year-5-6,5-6 years,60,72,schoolAge,high,true,months_54_60_social_emotional_1,Goal orientation,Set and work toward goals,Goal-setting activities,Lack of motivation,Motivation building strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_5_6_language_1,Grammar mastery,Grammar mastery and complex sentence structure,language,year-5-6,5-6 years,60,72,schoolAge,high,true,months_54_60_language_1,Grammar skills,Use correct grammar,Grammar practice activities,Poor grammar use,Grammar development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_6_7_physical_1,Fine motor precision,Fine motor precision and tool use,physical,year-6-7,6-7 years,72,84,schoolAge,high,true,year_5_6_physical_1,Precision skills,Use tools with precision,Fine motor activities,Poor fine motor control,Fine motor development tools,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_6_7_cognitive_1,Critical thinking,Critical thinking and analysis,cognitive,year-6-7,6-7 years,72,84,schoolAge,high,true,year_5_6_cognitive_1,Analytical skills,Think critically about problems,Critical thinking exercises,Limited analytical thinking,Critical thinking development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_6_7_social_emotional_1,Social skills,Social skills and peer interaction,social_emotional,year-6-7,6-7 years,72,84,schoolAge,high,true,year_5_6_social_emotional_1,Peer relationships,Interact well with peers,Social skills practice,Difficulty with social interaction,Social skills programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_6_7_language_1,Reading fluency,Reading fluency and comprehension,language,year-6-7,6-7 years,72,84,schoolAge,critical,true,year_5_6_language_1,Reading skills,Read fluently with comprehension,Reading practice,Poor reading skills,Reading development programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_7_8_physical_1,Sports participation,Sports participation and athletic skills,physical,year-7-8,7-8 years,84,96,schoolAge,medium,true,year_6_7_physical_1,Athletic abilities,Participate in sports,Sports opportunities,Lack of interest in physical activity,Sports programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_7_8_cognitive_1,Study strategies,Study strategies and learning methods,cognitive,year-7-8,7-8 years,84,96,schoolAge,high,true,year_6_7_cognitive_1,Study skills,Use effective study methods,Study skills training,Poor study habits,Study skills development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_7_8_social_emotional_1,Emotional maturity,Emotional maturity and self-regulation,social_emotional,year-7-8,7-8 years,84,96,schoolAge,high,true,year_6_7_social_emotional_1,Emotional development,Show age-appropriate emotional control,Emotional development activities,Emotional immaturity,Emotional maturity support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
year_7_8_language_1,Communication skills,Communication skills and expression,language,year-7-8,7-8 years,84,96,schoolAge,high,true,year_6_7_language_1,Communication ability,Communicate effectively,Communication practice,Poor communication skills,Communication development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_12_14_physical_1,Athletic peak,Athletic peak and physical performance,physical,teen-12-14,12-14 years,144,168,adolescence,medium,true,,Athletic performance,Develop athletic abilities,Sports training,Physical performance issues,Athletic development programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_12_14_cognitive_1,Abstract reasoning,Abstract reasoning and complex thinking,cognitive,teen-12-14,12-14 years,144,168,adolescence,high,true,,Abstract thinking,Think abstractly about concepts,Abstract reasoning activities,Concrete thinking only,Abstract thinking development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_12_14_social_emotional_1,Identity development,Identity development and self-discovery,social_emotional,teen-12-14,12-14 years,144,168,adolescence,critical,true,,Identity formation,Explore personal identity,Identity exploration support,Identity confusion,Identity development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_12_14_language_1,Advanced communication,Advanced communication and expression,language,teen-12-14,12-14 years,144,168,adolescence,high,true,,Communication mastery,Communicate complex ideas,Advanced communication practice,Communication difficulties,Communication skill enhancement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_14_16_physical_1,Body image acceptance,Body image acceptance and health awareness,physical,teen-14-16,14-16 years,168,192,adolescence,high,true,teen_12_14_physical_1,Body awareness,Develop healthy body image,Body positivity education,Body image issues,Body image support resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_14_16_cognitive_1,Future planning,Future planning and goal setting,cognitive,teen-14-16,14-16 years,168,192,adolescence,critical,true,teen_12_14_cognitive_1,Planning skills,Plan for future goals,Goal-setting activities,Lack of future planning,Future planning resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_14_16_social_emotional_1,Adult relationships,Adult relationships and mature interaction,social_emotional,teen-14-16,14-16 years,168,192,adolescence,high,true,teen_12_14_social_emotional_1,Relationship skills,Develop mature relationships,Relationship guidance,Relationship difficulties,Relationship development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_14_16_language_1,Lifelong learning,Lifelong learning and continued education,language,teen-14-16,14-16 years,168,192,adolescence,medium,true,teen_12_14_language_1,Learning commitment,Commit to ongoing learning,Learning opportunities,Resistance to learning,Lifelong learning encouragement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_16_18_physical_1,Physical independence,Physical independence and self-care mastery,physical,teen-16-18,16-18 years,192,216,adolescence,high,true,teen_14_16_physical_1,Independence,Manage physical needs independently,Independence training,Dependence on others,Independence development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_16_18_cognitive_1,Life skills mastery,Life skills mastery and practical application,cognitive,teen-16-18,16-18 years,192,216,adolescence,critical,true,teen_14_16_cognitive_1,Life management,Apply life skills effectively,Life skills training,Poor life skills,Life skills development programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_16_18_social_emotional_1,Social responsibility,Social responsibility and community engagement,social_emotional,teen-16-18,16-18 years,192,216,adolescence,high,true,teen_14_16_social_emotional_1,Social awareness,Show social responsibility,Community involvement,Lack of social responsibility,Community engagement programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
teen_16_18_language_1,Professional communication,Professional communication and workplace skills,language,teen-16-18,16-18 years,192,216,adolescence,high,true,teen_14_16_language_1,Professional skills,Communicate professionally,Professional communication training,Poor professional communication,Professional development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
